date,temp,hum,bright
2/13/2024 9:14:26 PM,21.3,70,3
2/13/2024 9:15:26 PM,21.3,70,3
2/13/2024 9:16:26 PM,21.3,70,3
2/13/2024 9:17:27 PM,21.3,70,3
2/13/2024 9:18:27 PM,21.3,70,3
2/13/2024 9:19:26 PM,21.3,70,3
2/13/2024 9:20:26 PM,21.3,70,3
2/13/2024 9:21:26 PM,21.3,70,3
2/13/2024 9:22:26 PM,21.3,70,3
2/13/2024 9:23:26 PM,21.3,70,3
2/13/2024 9:24:26 PM,21.3,70,3
2/13/2024 9:25:26 PM,21.3,70,3
2/13/2024 9:26:26 PM,21.3,70,3
2/13/2024 9:27:26 PM,21.3,70,3
2/13/2024 9:28:26 PM,21.3,70,3
2/13/2024 9:29:26 PM,21.3,70,3
2/13/2024 9:30:27 PM,21.3,70,3
2/13/2024 9:31:26 PM,21.3,70,3
2/13/2024 9:32:26 PM,21.3,69,3
2/13/2024 9:33:27 PM,21.3,69,3
2/13/2024 9:34:26 PM,21.3,70,3
2/13/2024 9:35:26 PM,21.3,70,3
2/13/2024 9:36:26 PM,21.3,70,3
2/13/2024 9:37:26 PM,21.3,70,3
2/13/2024 9:38:27 PM,21.3,70,3
2/13/2024 9:39:26 PM,21.4,70,3
2/13/2024 9:40:27 PM,21.3,70,3
2/13/2024 9:41:27 PM,21.4,70,3
2/13/2024 9:42:26 PM,21.3,70,3
2/13/2024 9:43:26 PM,21.4,70,3
2/13/2024 9:44:26 PM,21.4,70,3
2/13/2024 9:45:26 PM,21.4,70,3
2/13/2024 9:46:26 PM,21.4,70,3
2/13/2024 9:47:26 PM,21.4,70,3
2/13/2024 9:48:27 PM,21.3,70,3
2/13/2024 9:49:26 PM,21.4,70,3
2/13/2024 9:50:27 PM,21.4,70,3
2/13/2024 9:51:26 PM,21.4,70,3
2/13/2024 9:52:26 PM,21.4,70,3
2/13/2024 9:53:26 PM,21.4,70,3
2/13/2024 9:54:27 PM,21.4,70,3
2/13/2024 9:55:27 PM,21.4,70,3
2/13/2024 9:56:26 PM,21.4,70,3
2/13/2024 9:57:27 PM,21.4,70,3
2/13/2024 9:58:26 PM,21.4,70,3
2/13/2024 9:59:26 PM,21.4,69,3
2/13/2024 10:00:26 PM,21.4,70,3
2/13/2024 10:01:26 PM,21.4,69,3
2/13/2024 10:02:27 PM,21.4,69,3
2/13/2024 10:03:26 PM,21.4,69,3
2/13/2024 10:04:26 PM,21.4,69,3
2/13/2024 10:05:27 PM,21.4,69,3
2/13/2024 10:06:26 PM,21.4,69,3
2/13/2024 10:07:26 PM,21.4,69,3
2/13/2024 10:08:26 PM,21.3,69,3
2/13/2024 10:09:26 PM,21.3,69,3
2/13/2024 10:10:26 PM,21.3,69,1
2/13/2024 10:11:27 PM,21.3,69,1
2/13/2024 10:12:26 PM,21.3,69,1
2/13/2024 10:13:27 PM,21.3,69,1
2/13/2024 10:14:26 PM,21.2,69,1
2/13/2024 10:15:26 PM,21.2,69,1
2/13/2024 10:16:26 PM,21.2,69,1
2/13/2024 10:17:26 PM,21.2,68,1
2/13/2024 10:18:26 PM,21.2,69,1
2/13/2024 10:19:26 PM,21.2,68,1
2/13/2024 10:20:26 PM,21.2,69,1
2/13/2024 10:21:26 PM,21.2,69,1
2/13/2024 10:22:26 PM,21.1,69,1
2/13/2024 10:23:26 PM,21.1,69,1
2/13/2024 10:24:26 PM,21.1,69,1
2/13/2024 10:25:26 PM,21.1,69,1
2/13/2024 10:26:27 PM,21.1,69,1
2/13/2024 10:27:26 PM,21.1,69,1
2/13/2024 10:28:26 PM,21.1,68,1
2/13/2024 10:29:27 PM,21,68,1
2/13/2024 10:30:26 PM,21,68,1
2/13/2024 10:31:26 PM,21,68,1
2/13/2024 10:32:27 PM,21,68,1
2/13/2024 10:33:26 PM,21,68,1
2/13/2024 10:34:26 PM,21,68,1
2/13/2024 10:35:27 PM,20.9,68,1
2/13/2024 10:36:26 PM,21,68,1
2/13/2024 10:37:26 PM,20.9,68,1
2/13/2024 10:38:26 PM,20.9,68,1
2/13/2024 10:39:26 PM,20.9,68,1
2/13/2024 10:40:26 PM,20.9,68,1
2/13/2024 10:41:26 PM,20.9,68,1
2/13/2024 10:42:27 PM,20.9,68,1
2/13/2024 10:43:26 PM,20.9,68,1
2/13/2024 10:44:27 PM,20.9,68,1
2/13/2024 10:45:26 PM,20.8,68,1
2/13/2024 10:46:27 PM,20.8,68,1
2/13/2024 10:47:27 PM,20.8,68,1
2/13/2024 10:48:26 PM,20.8,67,1
2/13/2024 10:49:26 PM,20.8,67,1
2/13/2024 10:50:26 PM,20.8,67,1
2/13/2024 10:51:26 PM,20.8,67,1
2/13/2024 10:52:27 PM,20.7,67,1
2/13/2024 10:53:27 PM,20.7,67,1
2/13/2024 10:54:26 PM,20.7,67,1
2/13/2024 10:55:26 PM,20.7,67,1
2/13/2024 10:56:26 PM,20.7,67,1
2/13/2024 10:57:27 PM,20.7,67,1
